CIC_MEM_VERS = 1.0
CREATION_DATE  = 2017-11-29T08:48:54.000
ORIGINATOR     = CNES

META_START

COMMENT = days (MJD), sec (UTC), angle (deg)

OBJECT_NAME = NIMPH
OBJECT_ID = NIMPH

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = BETA_ANGLE
TIME_SYSTEM = UTC
START_TIME = 2017-11-27T00:00:00.000
STOP_TIME = 2017-11-28T00:00:00.000

META_STOP

58084 2040.00000 -62.12922
58084 2050.00000 -62.12931
58084 2060.00000 -62.12940
58084 2070.00000 -62.12950
58084 2080.00000 -62.12959
58084 2090.00000 -62.12968
58084 2100.00000 -62.12978
58084 2110.00000 -62.12987
58084 2120.00000 -62.12996
58084 2130.00000 -62.13006
58084 2140.00000 -62.13015
58084 2150.00000 -62.13024
58084 2160.00000 -62.13033
58084 2170.00000 -62.13042
58084 2180.00000 -62.13051
58084 2190.00000 -62.13060
58084 2200.00000 -62.13069
58084 2210.00000 -62.13078
58084 2220.00000 -62.13087
58084 2230.00000 -62.13095
58084 2240.00000 -62.13104
58084 2250.00000 -62.13112
58084 2260.00000 -62.13121
58084 2270.00000 -62.13129
58084 2280.00000 -62.13137
58084 2290.00000 -62.13145
58084 2300.00000 -62.13153
58084 2310.00000 -62.13161
58084 2320.00000 -62.13168
58084 2330.00000 -62.13176
58084 2340.00000 -62.13183
58084 2350.00000 -62.13190
58084 2360.00000 -62.13197
58084 2370.00000 -62.13204
58084 2380.00000 -62.13210
58084 2390.00000 -62.13217
58084 2400.00000 -62.13223
58084 2410.00000 -62.13229
58084 2420.00000 -62.13235
58084 2430.00000 -62.13241
58084 2440.00000 -62.13246
58084 2450.00000 -62.13252
58084 2460.00000 -62.13257
58084 2470.00000 -62.13262
58084 2480.00000 -62.13267
58084 2490.00000 -62.13271
58084 2500.00000 -62.13275
58084 2510.00000 -62.13279
58084 2520.00000 -62.13283
58084 2530.00000 -62.13287
58084 2540.00000 -62.13290
58084 2550.00000 -62.13293
58084 2560.00000 -62.13296
58084 2570.00000 -62.13299
58084 2580.00000 -62.13301
58084 2590.00000 -62.13304
58084 2600.00000 -62.13305
58084 2610.00000 -62.13307
58084 2620.00000 -62.13309
58084 2630.00000 -62.13310
58084 2640.00000 -62.13311
58084 2650.00000 -62.13311
58084 2660.00000 -62.13312
58084 2670.00000 -62.13312
58084 2680.00000 -62.13312
58084 2690.00000 -62.13311
58084 2700.00000 -62.13311
58084 2710.00000 -62.13310
58084 2720.00000 -62.13309
58084 2730.00000 -62.13307
58084 2740.00000 -62.13306
58084 2750.00000 -62.13304
58084 2760.00000 -62.13301
58084 2770.00000 -62.13299
58084 2780.00000 -62.13296
58084 2790.00000 -62.13293
58084 2800.00000 -62.13290
58084 2810.00000 -62.13286
58084 2820.00000 -62.13283
58084 2830.00000 -62.13278
58084 2840.00000 -62.13274
58084 2850.00000 -62.13270
58084 2860.00000 -62.13265
58084 2870.00000 -62.13260
58084 2880.00000 -62.13254
58084 2890.00000 -62.13249
58084 2900.00000 -62.13243
58084 2910.00000 -62.13237
58084 2920.00000 -62.13230
58084 2930.00000 -62.13224
58084 2940.00000 -62.13217
58084 2950.00000 -62.13210
58084 2960.00000 -62.13203
58084 2970.00000 -62.13195
58084 2980.00000 -62.13187
58084 2990.00000 -62.13179
58084 3000.00000 -62.13171
58084 3010.00000 -62.13163
58084 3020.00000 -62.13154
58084 3030.00000 -62.13145
58084 3040.00000 -62.13136
58084 3050.00000 -62.13127
58084 3060.00000 -62.13118
58084 3070.00000 -62.13108
58084 3080.00000 -62.13098
58084 3090.00000 -62.13088
58084 3100.00000 -62.13078
58084 3110.00000 -62.13067
58084 3120.00000 -62.13057
58084 3130.00000 -62.13046
58084 3140.00000 -62.13035
58084 3150.00000 -62.13024
58084 3160.00000 -62.13013
58084 3170.00000 -62.13001
58084 3180.00000 -62.12990
58084 3190.00000 -62.12978
58084 3200.00000 -62.12966
58084 3210.00000 -62.12954
58084 3220.00000 -62.12942
58084 3230.00000 -62.12930
58084 3240.00000 -62.12918
58084 3250.00000 -62.12905
58084 3260.00000 -62.12893
58084 3270.00000 -62.12880
58084 3280.00000 -62.12868
58084 3290.00000 -62.12855
58084 3300.00000 -62.12842
58084 3310.00000 -62.12829
58084 3320.00000 -62.12816
58084 3330.00000 -62.12803
58084 3340.00000 -62.12790
58084 3350.00000 -62.12777
58084 3360.00000 -62.12763
58084 3370.00000 -62.12750
58084 3380.00000 -62.12737
58084 3390.00000 -62.12724
58084 3400.00000 -62.12710
58084 3410.00000 -62.12697
58084 3420.00000 -62.12684
58084 3430.00000 -62.12670
58084 3440.00000 -62.12657
58084 3450.00000 -62.12644
58084 3460.00000 -62.12630
58084 3470.00000 -62.12617
58084 3480.00000 -62.12604
58084 3490.00000 -62.12590
58084 3500.00000 -62.12577
58084 3510.00000 -62.12564
58084 3520.00000 -62.12551
58084 3530.00000 -62.12538
58084 3540.00000 -62.12525
58084 3550.00000 -62.12512
58084 3560.00000 -62.12499
58084 3570.00000 -62.12487
58084 3580.00000 -62.12474
58084 3590.00000 -62.12461
58084 3600.00000 -62.12449
58084 3610.00000 -62.12437
58084 3620.00000 -62.12424
58084 3630.00000 -62.12412
58084 3640.00000 -62.12400
58084 3650.00000 -62.12389
58084 3660.00000 -62.12377
58084 3670.00000 -62.12365
58084 3680.00000 -62.12354
58084 3690.00000 -62.12342
58084 3700.00000 -62.12331
58084 3710.00000 -62.12320
58084 3720.00000 -62.12310
58084 3730.00000 -62.12299
58084 3740.00000 -62.12288
58084 3750.00000 -62.12278
58084 3760.00000 -62.12268
58084 3770.00000 -62.12258
58084 3780.00000 -62.12248
58084 3790.00000 -62.12239
58084 3800.00000 -62.12230
58084 3810.00000 -62.12220
58084 3820.00000 -62.12212
58084 3830.00000 -62.12203
58084 3840.00000 -62.12194
58084 3850.00000 -62.12186
58084 3860.00000 -62.12178
58084 3870.00000 -62.12170
58084 3880.00000 -62.12163
58084 3890.00000 -62.12155
58084 3900.00000 -62.12148
58084 3910.00000 -62.12141
58084 3920.00000 -62.12135
58084 3930.00000 -62.12128
58084 3940.00000 -62.12122
58084 3950.00000 -62.12116
58084 3960.00000 -62.12110
58084 3970.00000 -62.12105
58084 3980.00000 -62.12100
58084 3990.00000 -62.12095
