CIC_MEM_VERS = 1.0
CREATION_DATE  = 2017-11-29T08:48:56.000
ORIGINATOR     = CNES

META_START

COMMENT = days (MJD), sec (UTC), true_satellite_local_time (h)

OBJECT_NAME = NIMPH
OBJECT_ID = NIMPH

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = SATELLITE_LOCAL_TIME
TIME_SYSTEM = UTC
START_TIME = 2017-11-27T00:00:00.000
STOP_TIME = 2017-11-28T00:00:00.000

META_STOP

58084 2170.00000 18.51620
58084 2180.00000 18.50866
58084 2190.00000 18.50123
58084 2200.00000 18.49392
58084 2210.00000 18.48672
58084 2220.00000 18.47962
58084 2230.00000 18.47262
58084 2240.00000 18.46572
58084 2250.00000 18.45891
58084 2260.00000 18.45219
58084 2270.00000 18.44556
58084 2280.00000 18.43901
58084 2290.00000 18.43253
58084 2300.00000 18.42614
58084 2310.00000 18.41981
58084 2320.00000 18.41356
58084 2330.00000 18.40737
58084 2340.00000 18.40125
58084 2350.00000 18.39519
58084 2360.00000 18.38919
58084 2370.00000 18.38325
58084 2380.00000 18.37736
58084 2390.00000 18.37152
58084 2400.00000 18.36574
58084 2410.00000 18.36000
58084 2420.00000 18.35431
58084 2430.00000 18.34866
58084 2440.00000 18.34305
58084 2450.00000 18.33748
58084 2460.00000 18.33195
58084 2470.00000 18.32646
58084 2480.00000 18.32100
58084 2490.00000 18.31557
58084 2500.00000 18.31018
58084 2510.00000 18.30481
58084 2520.00000 18.29947
58084 2530.00000 18.29416
58084 2540.00000 18.28887
58084 2550.00000 18.28361
58084 2560.00000 18.27836
58084 2570.00000 18.27314
58084 2580.00000 18.26793
58084 2590.00000 18.26274
58084 2600.00000 18.25756
58084 2610.00000 18.25240
58084 2620.00000 18.24725
58084 2630.00000 18.24211
58084 2640.00000 18.23698
58084 2650.00000 18.23186
58084 2660.00000 18.22675
58084 2670.00000 18.22164
58084 2680.00000 18.21653
58084 2690.00000 18.21143
58084 2700.00000 18.20633
58084 2710.00000 18.20123
58084 2720.00000 18.19613
58084 2730.00000 18.19102
58084 2740.00000 18.18591
58084 2750.00000 18.18079
58084 2760.00000 18.17567
58084 2770.00000 18.17054
58084 2780.00000 18.16540
58084 2790.00000 18.16025
58084 2800.00000 18.15508
58084 2810.00000 18.14990
58084 2820.00000 18.14471
58084 2830.00000 18.13950
58084 2840.00000 18.13427
58084 2850.00000 18.12902
58084 2860.00000 18.12375
58084 2870.00000 18.11846
58084 2880.00000 18.11314
58084 2890.00000 18.10779
58084 2900.00000 18.10242
58084 2910.00000 18.09702
58084 2920.00000 18.09159
58084 2930.00000 18.08612
58084 2940.00000 18.08062
58084 2950.00000 18.07509
58084 2960.00000 18.06951
58084 2970.00000 18.06390
58084 2980.00000 18.05824
58084 2990.00000 18.05254
58084 3000.00000 18.04679
58084 3010.00000 18.04099
58084 3020.00000 18.03515
58084 3030.00000 18.02925
58084 3040.00000 18.02329
58084 3050.00000 18.01728
58084 3060.00000 18.01121
58084 3070.00000 18.00508
58084 3080.00000 17.99888
58084 3090.00000 17.99261
58084 3100.00000 17.98628
58084 3110.00000 17.97987
58084 3120.00000 17.97338
58084 3130.00000 17.96681
58084 3140.00000 17.96016
58084 3150.00000 17.95343
58084 3160.00000 17.94660
58084 3170.00000 17.93969
58084 3180.00000 17.93267
58084 3190.00000 17.92555
58084 3200.00000 17.91833
58084 3210.00000 17.91100
58084 3220.00000 17.90356
58084 3230.00000 17.89599
58084 3240.00000 17.88831
58084 3250.00000 17.88049
58084 3260.00000 17.87254
58084 3270.00000 17.86445
58084 3280.00000 17.85622
58084 3290.00000 17.84783
58084 3300.00000 17.83929
58084 3310.00000 17.83058
58084 3320.00000 17.82170
58084 3330.00000 17.81264
58084 3340.00000 17.80339
58084 3350.00000 17.79395
58084 3360.00000 17.78430
58084 3370.00000 17.77444
58084 3380.00000 17.76435
58084 3390.00000 17.75403
58084 3400.00000 17.74346
58084 3410.00000 17.73264
58084 3420.00000 17.72155
58084 3430.00000 17.71018
58084 3440.00000 17.69851
58084 3450.00000 17.68653
58084 3460.00000 17.67423
58084 3470.00000 17.66158
58084 3480.00000 17.64857
58084 3490.00000 17.63518
58084 3500.00000 17.62139
58084 3510.00000 17.60718
58084 3520.00000 17.59252
58084 3530.00000 17.57739
58084 3540.00000 17.56177
58084 3550.00000 17.54562
58084 3560.00000 17.52891
58084 3570.00000 17.51161
58084 3580.00000 17.49369
58084 3590.00000 17.47510
58084 3600.00000 17.45581
58084 3610.00000 17.43576
58084 3620.00000 17.41491
58084 3630.00000 17.39320
58084 3640.00000 17.37058
58084 3650.00000 17.34698
58084 3660.00000 17.32233
58084 3670.00000 17.29655
58084 3680.00000 17.26957
58084 3690.00000 17.24129
58084 3700.00000 17.21161
58084 3710.00000 17.18041
58084 3720.00000 17.14758
58084 3730.00000 17.11297
58084 3740.00000 17.07644
58084 3750.00000 17.03781
58084 3760.00000 16.99691
58084 3770.00000 16.95351
58084 3780.00000 16.90739
58084 3790.00000 16.85827
58084 3800.00000 16.80587
58084 3810.00000 16.74985
58084 3820.00000 16.68982
58084 3830.00000 16.62536
