CIC_MEM_VERS = 1.0
CREATION_DATE  = 2017-11-29T08:48:54.000
ORIGINATOR     = CNES

META_START

COMMENT = days (MJD), sec (UTC), distance (km)

OBJECT_NAME = NIMPH
OBJECT_ID = NIMPH

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = DISTANCE_SAT_GROUND_STATION_1
TIME_SYSTEM = UTC
START_TIME = 2017-11-27T00:00:00.000
STOP_TIME = 2017-11-28T00:00:00.000

META_STOP

58084 2180.00000 7572.533
58084 2190.00000 7620.931
58084 2200.00000 7669.296
58084 2210.00000 7717.622
58084 2220.00000 7765.902
58084 2230.00000 7814.131
58084 2240.00000 7862.301
58084 2250.00000 7910.407
58084 2260.00000 7958.443
58084 2270.00000 8006.402
58084 2280.00000 8054.280
58084 2290.00000 8102.070
58084 2300.00000 8149.767
58084 2310.00000 8197.365
58084 2320.00000 8244.859
58084 2330.00000 8292.244
58084 2340.00000 8339.514
58084 2350.00000 8386.665
58084 2360.00000 8433.691
58084 2370.00000 8480.588
58084 2380.00000 8527.349
58084 2390.00000 8573.972
58084 2400.00000 8620.451
58084 2410.00000 8666.781
58084 2420.00000 8712.958
58084 2430.00000 8758.977
58084 2440.00000 8804.834
58084 2450.00000 8850.525
58084 2460.00000 8896.046
58084 2470.00000 8941.391
58084 2480.00000 8986.558
58084 2490.00000 9031.541
58084 2500.00000 9076.338
58084 2510.00000 9120.943
58084 2520.00000 9165.354
58084 2530.00000 9209.566
58084 2540.00000 9253.576
58084 2550.00000 9297.379
58084 2560.00000 9340.972
58084 2570.00000 9384.353
58084 2580.00000 9427.516
58084 2590.00000 9470.458
58084 2600.00000 9513.177
58084 2610.00000 9555.668
58084 2620.00000 9597.929
58084 2630.00000 9639.956
58084 2640.00000 9681.745
58084 2650.00000 9723.294
58084 2660.00000 9764.600
58084 2670.00000 9805.659
58084 2680.00000 9846.468
58084 2690.00000 9887.024
58084 2700.00000 9927.324
58084 2710.00000 9967.366
58084 2720.00000 10007.146
58084 2730.00000 10046.662
58084 2740.00000 10085.910
58084 2750.00000 10124.888
58084 2760.00000 10163.593
58084 2770.00000 10202.023
58084 2780.00000 10240.175
58084 2790.00000 10278.046
58084 2800.00000 10315.633
58084 2810.00000 10352.935
58084 2820.00000 10389.948
58084 2830.00000 10426.670
58084 2840.00000 10463.098
58084 2850.00000 10499.231
58084 2860.00000 10535.065
58084 2870.00000 10570.599
58084 2880.00000 10605.830
58084 2890.00000 10640.756
58084 2900.00000 10675.375
58084 2910.00000 10709.684
58084 2920.00000 10743.681
58084 2930.00000 10777.364
58084 2940.00000 10810.731
58084 2950.00000 10843.780
58084 2960.00000 10876.508
58084 2970.00000 10908.915
58084 2980.00000 10940.996
58084 2990.00000 10972.752
58084 3000.00000 11004.180
58084 3010.00000 11035.277
58084 3020.00000 11066.042
58084 3030.00000 11096.474
58084 3040.00000 11126.569
58084 3050.00000 11156.327
58084 3060.00000 11185.746
58084 3070.00000 11214.824
58084 3080.00000 11243.559
58084 3090.00000 11271.950
58084 3100.00000 11299.994
58084 3110.00000 11327.690
58084 3120.00000 11355.037
58084 3130.00000 11382.034
58084 3140.00000 11408.677
58084 3150.00000 11434.966
58084 3160.00000 11460.900
58084 3170.00000 11486.477
58084 3180.00000 11511.695
58084 3190.00000 11536.553
58084 3200.00000 11561.049
58084 3210.00000 11585.183
58084 3220.00000 11608.952
58084 3230.00000 11632.356
58084 3240.00000 11655.393
58084 3250.00000 11678.061
58084 3260.00000 11700.360
58084 3270.00000 11722.289
58084 3280.00000 11743.845
58084 3290.00000 11765.029
58084 3300.00000 11785.838
58084 3310.00000 11806.271
58084 3320.00000 11826.328
58084 3330.00000 11846.007
58084 3340.00000 11865.307
58084 3350.00000 11884.228
58084 3360.00000 11902.767
58084 3370.00000 11920.925
58084 3380.00000 11938.699
58084 3390.00000 11956.089
58084 3400.00000 11973.095
58084 3410.00000 11989.715
58084 3420.00000 12005.948
58084 3430.00000 12021.793
58084 3440.00000 12037.250
58084 3450.00000 12052.317
58084 3460.00000 12066.994
58084 3470.00000 12081.280
58084 3480.00000 12095.174
58084 3490.00000 12108.676
58084 3500.00000 12121.785
58084 3510.00000 12134.499
58084 3520.00000 12146.819
58084 3530.00000 12158.743
58084 3540.00000 12170.271
58084 3550.00000 12181.402
58084 3560.00000 12192.137
58084 3570.00000 12202.473
58084 3580.00000 12212.410
58084 3590.00000 12221.949
58084 3600.00000 12231.088
58084 3610.00000 12239.827
58084 3620.00000 12248.165
58084 3630.00000 12256.102
58084 3640.00000 12263.637
58084 3650.00000 12270.771
58084 3660.00000 12277.502
58084 3670.00000 12283.830
58084 3680.00000 12289.755
58084 3690.00000 12295.277
58084 3700.00000 12300.394
58084 3710.00000 12305.108
58084 3720.00000 12309.416
58084 3730.00000 12313.320
58084 3740.00000 12316.819
58084 3750.00000 12319.913
58084 3760.00000 12322.601
58084 3770.00000 12324.883
58084 3780.00000 12326.760
58084 3790.00000 12328.230
58084 3800.00000 12329.294
58084 3810.00000 12329.952
58084 3820.00000 12330.204
58084 3830.00000 12330.048
58084 3840.00000 12329.487
58084 3850.00000 12328.518
58084 3860.00000 12327.143
58084 3870.00000 12325.361
58084 3880.00000 12323.173
58084 3890.00000 12320.577
58084 3900.00000 12317.576
58084 3910.00000 12314.167
58084 3920.00000 12310.352
58084 3930.00000 12306.131
58084 3940.00000 12301.504
58084 3950.00000 12296.470
58084 3960.00000 12291.030
58084 3970.00000 12285.185
58084 3980.00000 12278.934
58084 3990.00000 12272.278
58084 4000.00000 12265.217
58084 4010.00000 12257.751
58084 4020.00000 12249.880
58084 4030.00000 12241.605
58084 4040.00000 12232.926
58084 4050.00000 12223.843
58084 4060.00000 12214.357
58084 4070.00000 12204.468
58084 4080.00000 12194.177
58084 4090.00000 12183.483
58084 4100.00000 12172.388
58084 4110.00000 12160.891
58084 4120.00000 12148.994
58084 4130.00000 12136.697
58084 4140.00000 12123.999
58084 4150.00000 12110.903
58084 4160.00000 12097.407
58084 4170.00000 12083.514
58084 4180.00000 12069.222
58084 4190.00000 12054.534
58084 4200.00000 12039.450
58084 4210.00000 12023.970
58084 4220.00000 12008.094
58084 4230.00000 11991.825
58084 4240.00000 11975.161
58084 4250.00000 11958.105
58084 4260.00000 11940.656
58084 4270.00000 11922.816
58084 4280.00000 11904.586
58084 4290.00000 11885.965
58084 4300.00000 11866.955
58084 4310.00000 11847.558
58084 4320.00000 11827.772
58084 4330.00000 11807.601
58084 4340.00000 11787.043
58084 4350.00000 11766.101
58084 4360.00000 11744.776
58084 4370.00000 11723.067
58084 4380.00000 11700.977
