CIC_MEM_VERS = 1.0
CREATION_DATE  = 2017-11-29T10:58:02.000
ORIGINATOR     = CNES

META_START

COMMENT = days (MJD), sec (UTC), angle (deg)

OBJECT_NAME = NIMPH
OBJECT_ID = NIMPH

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = EARTH_ANGLE_SA_1
TIME_SYSTEM = UTC
START_TIME = 2017-11-27T00:00:00.000
STOP_TIME = 2017-11-28T00:00:00.000

META_STOP

58084 2180.00000 109.66755
58084 2190.00000 104.33388
58084 2200.00000 98.97213
58084 2210.00000 93.58884
58084 2220.00000 88.18941
58084 2230.00000 82.77850
58084 2240.00000 77.36041
58084 2250.00000 71.93931
58084 2260.00000 66.51961
58084 2270.00000 61.10631
58084 2280.00000 55.70549
58084 2290.00000 50.32512
58084 2300.00000 44.97625
58084 2310.00000 39.67526
58084 2320.00000 34.44781
58084 2330.00000 29.33689
58084 2340.00000 24.41958
58084 2350.00000 19.84440
58084 2360.00000 15.91378
58084 2370.00000 13.22061
58084 2380.00000 12.59041
58084 2390.00000 14.30199
58084 2400.00000 17.69057
58084 2410.00000 21.99597
58084 2420.00000 26.78085
58084 2430.00000 31.83063
58084 2440.00000 37.03785
58084 2450.00000 42.34501
58084 2460.00000 47.71920
58084 2470.00000 53.14043
58084 2480.00000 58.59590
58084 2490.00000 64.07706
58084 2500.00000 69.57799
58084 2510.00000 75.09445
58084 2520.00000 80.62332
58084 2530.00000 86.16222
58084 2540.00000 91.70934
58084 2550.00000 97.26322
58084 2560.00000 102.82268
58084 2570.00000 108.38672
58084 2580.00000 113.95446
58084 2590.00000 119.52512
58084 2600.00000 125.09791
58084 2610.00000 130.67200
58084 2620.00000 136.24641
58084 2630.00000 141.81985
58084 2640.00000 147.39041
58084 2650.00000 152.95486
58084 2660.00000 158.50690
58084 2670.00000 164.03182
58084 2680.00000 169.48454
58084 2690.00000 174.63631
58084 2700.00000 176.90196
58084 2710.00000 172.71397
58084 2720.00000 167.38043
58084 2730.00000 161.88610
58084 2740.00000 156.34259
58084 2750.00000 150.77783
58084 2760.00000 145.20207
58084 2770.00000 139.61999
58084 2780.00000 134.03407
58084 2790.00000 128.44577
58084 2800.00000 122.85606
58084 2810.00000 117.26564
58084 2820.00000 111.67504
58084 2830.00000 106.08473
58084 2840.00000 100.49513
58084 2850.00000 94.90666
58084 2860.00000 89.31977
58084 2870.00000 83.73496
58084 2880.00000 78.15284
58084 2890.00000 72.57412
58084 2900.00000 66.99972
58084 2910.00000 61.43087
58084 2920.00000 55.86921
58084 2930.00000 50.31710
58084 2940.00000 44.77797
58084 2950.00000 39.25716
58084 2960.00000 33.76340
58084 2970.00000 28.31206
58084 2980.00000 22.93284
58084 2990.00000 17.69078
58084 3000.00000 12.75470
58084 3010.00000 8.66195
58084 3020.00000 7.06804
58084 3030.00000 9.34938
58084 3040.00000 13.68679
58084 3050.00000 18.69860
58084 3060.00000 23.96368
58084 3070.00000 29.34444
58084 3080.00000 34.78571
58084 3090.00000 40.26145
58084 3100.00000 45.75773
58084 3110.00000 51.26634
58084 3120.00000 56.78203
58084 3130.00000 62.30110
58084 3140.00000 67.82077
58084 3150.00000 73.33875
58084 3160.00000 78.85298
58084 3170.00000 84.36146
58084 3180.00000 89.86209
58084 3190.00000 95.35252
58084 3200.00000 100.83000
58084 3210.00000 106.29117
58084 3220.00000 111.73176
58084 3230.00000 117.14618
58084 3240.00000 122.52691
58084 3250.00000 127.86349
58084 3260.00000 133.14095
58084 3270.00000 138.33705
58084 3280.00000 143.41751
58084 3290.00000 148.32728
58084 3300.00000 152.97406
58084 3310.00000 157.19783
58084 3320.00000 160.72036
58084 3330.00000 163.09979
58084 3340.00000 163.82645
58084 3350.00000 162.69400
58084 3360.00000 160.01909
58084 3370.00000 156.32169
58084 3380.00000 152.00688
58084 3390.00000 147.32108
58084 3400.00000 142.40551
58084 3410.00000 137.34236
58084 3420.00000 132.18138
58084 3430.00000 126.95417
58084 3440.00000 121.68176
58084 3450.00000 116.37889
58084 3460.00000 111.05638
58084 3470.00000 105.72270
58084 3480.00000 100.38481
58084 3490.00000 95.04892
58084 3500.00000 89.72089
58084 3510.00000 84.40672
58084 3520.00000 79.11291
58084 3530.00000 73.84693
58084 3540.00000 68.61782
58084 3550.00000 63.43689
58084 3560.00000 58.31886
58084 3570.00000 53.28342
58084 3580.00000 48.35769
58084 3590.00000 43.57990
58084 3600.00000 39.00521
58084 3610.00000 34.71449
58084 3620.00000 30.82664
58084 3630.00000 27.51268
58084 3640.00000 25.00111
58084 3650.00000 23.54874
58084 3660.00000 23.35225
58084 3670.00000 24.43974
58084 3680.00000 26.65202
58084 3690.00000 29.73641
58084 3700.00000 33.44968
58084 3710.00000 37.60298
58084 3720.00000 42.06299
58084 3730.00000 46.73865
58084 3740.00000 51.56775
58084 3750.00000 56.50711
58084 3760.00000 61.52601
58084 3770.00000 66.60189
58084 3780.00000 71.71757
58084 3790.00000 76.85943
58084 3800.00000 82.01607
58084 3810.00000 87.17748
58084 3820.00000 92.33425
58084 3830.00000 97.47697
58084 3840.00000 102.59563
58084 3850.00000 107.67897
58084 3860.00000 112.71366
58084 3870.00000 117.68326
58084 3880.00000 122.56679
58084 3890.00000 127.33669
58084 3900.00000 131.95593
58084 3910.00000 136.37383
58084 3920.00000 140.52030
58084 3930.00000 144.29859
58084 3940.00000 147.57808
58084 3950.00000 150.19250
58084 3960.00000 151.95461
58084 3970.00000 152.69879
58084 3980.00000 152.34326
58084 3990.00000 150.92936
58084 4000.00000 148.60122
58084 4010.00000 145.54550
58084 4020.00000 141.93919
58084 4030.00000 137.92610
58084 4040.00000 133.61442
58084 4050.00000 129.08296
58084 4060.00000 124.38878
58084 4070.00000 119.57349
58084 4080.00000 114.66799
58084 4090.00000 109.69576
58084 4100.00000 104.67524
58084 4110.00000 99.62139
58084 4120.00000 94.54696
58084 4130.00000 89.46334
58084 4140.00000 84.38134
58084 4150.00000 79.31184
58084 4160.00000 74.26651
58084 4170.00000 69.25857
58084 4180.00000 64.30374
58084 4190.00000 59.42152
58084 4200.00000 54.63698
58084 4210.00000 49.98326
58084 4220.00000 45.50515
58084 4230.00000 41.26408
58084 4240.00000 37.34476
58084 4250.00000 33.86260
58084 4260.00000 30.96848
58084 4270.00000 28.84257
58084 4280.00000 27.66457
58084 4290.00000 27.55772
58084 4300.00000 28.53485
58084 4310.00000 30.49212
58084 4320.00000 33.25665
58084 4330.00000 36.64546
58084 4340.00000 40.50109
58084 4350.00000 44.70149
58084 4360.00000 49.15664
58084 4370.00000 53.80129
58084 4380.00000 58.58805
58084 4390.00000 63.48210
58084 4400.00000 68.45739
58084 4410.00000 73.49388
58084 4420.00000 78.57576
58084 4430.00000 83.69006
58084 4440.00000 88.82566
58084 4450.00000 93.97253
58084 4460.00000 99.12109
58084 4470.00000 104.26159
58084 4480.00000 109.38346
58084 4490.00000 114.47452
58084 4500.00000 119.51999
58084 4510.00000 124.50109
58084 4520.00000 129.39296
58084 4530.00000 134.16159
58084 4540.00000 138.75908
58084 4550.00000 143.11653
58084 4560.00000 147.13369
58084 4570.00000 150.66603
58084 4580.00000 153.51470
58084 4590.00000 155.43691
58084 4600.00000 156.20385
58084 4610.00000 155.70332
58084 4620.00000 154.00655
58084 4630.00000 151.32382
58084 4640.00000 147.90062
58084 4650.00000 143.94688
58084 4660.00000 139.61811
58084 4670.00000 135.02270
58084 4680.00000 130.23496
58084 4690.00000 125.30610
58084 4700.00000 120.27199
58084 4710.00000 115.15834
58084 4720.00000 109.98399
58084 4730.00000 104.76320
58084 4740.00000 99.50706
58084 4750.00000 94.22451
58084 4760.00000 88.92309
