CIC_MEM_VERS = 1.0
CREATION_DATE  = 2017-11-29T08:48:56.000
ORIGINATOR     = CNES

META_START

COMMENT = days (MJD), sec (UTC), angle (deg)

OBJECT_NAME = NIMPH
OBJECT_ID = NIMPH

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = ROTATION_ANGLE_SA_1
TIME_SYSTEM = UTC
START_TIME = 2017-11-27T00:00:00.000
STOP_TIME = 2017-11-28T00:00:00.000

META_STOP

58084 760.00000 0.00000
58084 770.00000 0.00000
58084 780.00000 0.00000
58084 790.00000 0.00000
58084 800.00000 0.00000
58084 810.00000 0.00000
58084 820.00000 0.00000
58084 830.00000 0.00000
58084 840.00000 0.00000
58084 850.00000 0.00000
58084 860.00000 0.00000
58084 870.00000 0.00000
58084 880.00000 0.00000
58084 890.00000 0.00000
58084 900.00000 0.00000
58084 910.00000 0.00000
58084 920.00000 0.00000
58084 930.00000 0.00000
58084 940.00000 0.00000
58084 950.00000 0.00000
58084 960.00000 0.00000
58084 970.00000 0.00000
58084 980.00000 0.00000
58084 990.00000 0.00000
58084 1000.00000 0.00000
58084 1010.00000 0.00000
58084 1020.00000 0.00000
58084 1030.00000 0.00000
58084 1040.00000 0.00000
58084 1050.00000 0.00000
58084 1060.00000 0.00000
58084 1070.00000 0.00000
58084 1080.00000 0.00000
58084 1090.00000 0.00000
58084 1100.00000 0.00000
58084 1110.00000 0.00000
58084 1120.00000 0.00000
58084 1130.00000 0.00000
58084 1140.00000 0.00000
58084 1150.00000 0.00000
58084 1160.00000 0.00000
58084 1170.00000 0.00000
58084 1180.00000 0.00000
58084 1190.00000 0.00000
58084 1200.00000 0.00000
58084 1210.00000 0.00000
58084 1220.00000 0.00000
58084 1230.00000 0.00000
58084 1240.00000 0.00000
58084 1250.00000 0.00000
58084 1260.00000 0.00000
58084 1270.00000 0.00000
58084 1280.00000 0.00000
58084 1290.00000 0.00000
58084 1300.00000 0.00000
58084 1310.00000 0.00000
58084 1320.00000 0.00000
58084 1330.00000 0.00000
58084 1340.00000 0.00000
58084 1350.00000 0.00000
58084 1360.00000 0.00000
58084 1370.00000 0.00000
58084 1380.00000 0.00000
58084 1390.00000 0.00000
58084 1400.00000 0.00000
58084 1410.00000 0.00000
58084 1420.00000 0.00000
58084 1430.00000 0.00000
58084 1440.00000 0.00000
58084 1450.00000 0.00000
58084 1460.00000 0.00000
58084 1470.00000 0.00000
58084 1480.00000 0.00000
58084 1490.00000 0.00000
58084 1500.00000 0.00000
58084 1510.00000 0.00000
58084 1520.00000 0.00000
58084 1530.00000 0.00000
58084 1540.00000 0.00000
58084 1550.00000 0.00000
58084 1560.00000 0.00000
58084 1570.00000 0.00000
58084 1580.00000 0.00000
58084 1590.00000 0.00000
58084 1600.00000 0.00000
58084 1610.00000 0.00000
58084 1620.00000 0.00000
58084 1630.00000 0.00000
58084 1640.00000 0.00000
58084 1650.00000 0.00000
58084 1660.00000 0.00000
58084 1670.00000 0.00000
58084 1680.00000 0.00000
58084 1690.00000 0.00000
58084 1700.00000 0.00000
58084 1710.00000 0.00000
58084 1720.00000 0.00000
58084 1730.00000 0.00000
58084 1740.00000 0.00000
58084 1750.00000 0.00000
58084 1760.00000 0.00000
58084 1770.00000 0.00000
58084 1780.00000 0.00000
58084 1790.00000 0.00000
58084 1800.00000 0.00000
58084 1810.00000 0.00000
58084 1820.00000 0.00000
58084 1830.00000 0.00000
58084 1840.00000 0.00000
58084 1850.00000 0.00000
58084 1860.00000 0.00000
58084 1870.00000 0.00000
58084 1880.00000 0.00000
58084 1890.00000 0.00000
